top_x,top_y,top_z,top_timestamp,side_x,side_y,side_z,side_timestamp,front_side_x,front_side_y,front_side_z,front_side_timestamp,front_x,front_y,front_z,front_timestamp,fsr_bottom,fsr_outside
0.0052185059,0.0775909424,-1.008682251,87612.76473675,0.0132598877,-0.996963501,-0.03465271,7070.7998815,0.038772583,-0.9990539551,-0.0146331787,33567.79108925,0.0306396484,-0.9977722168,-0.0156097412,14589.8272606667,0,0
0.0483703613,0.1230010986,-0.999786377,87612.80566075,0.01612854,-0.99609375,-0.0510559082,7070.8411415,0.0385742188,-0.9996337891,-0.0122375488,33567.83259325,0.030380249,-0.9967956543,-0.0163574219,14589.8690396667,0,0
0.0737762451,0.0690917969,-0.9930725098,87612.84658475,0.0066223145,-0.9961395264,-0.0575866699,7070.8825475,0.0331878662,-1,-0.0148925781,33567.87409725,0.0305175781,-0.9967193604,-0.0160064697,14589.9108486667,0,0
0.094039917,0.037902832,-0.9920349121,87612.88750875,-0.0028991699,-1.0011138916,-0.0347747803,7070.9239505,0.0408630371,-0.9989929199,-0.0127563477,33567.91563225,0.029296875,-0.9968566895,-0.0152740479,14589.9526266667,0,0
0.0694732666,0.0662689209,-1.0037536621,87612.92843275,0.0057830811,-0.9925689697,-0.035949707,7070.9653565,0.0359344482,-0.9996795654,-0.0086364746,33567.95713525,0.0314483643,-0.9973907471,-0.0157775879,14589.9944356667,0,0
0.0654449463,0.0670471191,-0.9989013672,87612.96935675,-0.0017852783,-0.9987030029,-0.0136566162,7071.0067575,0.0235290527,-0.9987487793,-0.0307159424,33567.99863925,0.0302276611,-0.997756958,-0.0161132813,14590.0362146667,0,0
0.0508422852,0.0976715088,-1.0013885498,87613.01028075,0.004486084,-0.9979095459,-0.0551605225,7071.0480145,0.0549926758,-0.9993133545,0.0001373291,33568.04014325,0.0302581787,-0.9967498779,-0.0156860352,14590.0780236667,0,0
0.0511932373,0.0735015869,-0.9959716797,87613.05120475,0.0054931641,-0.9993591309,-0.0008239746,7071.0894215,0.0338134766,-0.9993133545,-0.0044708252,33568.08167825,0.0300140381,-0.9970550537,-0.0163726807,14590.1198026667,0,0
0.0546264648,0.0296478271,-1.0039825439,87613.09212975,0.0051422119,-0.9936828613,-0.0328369141,7071.1308235,0.0298614502,-0.999420166,-0.0262756348,33568.12318225,0.0303649902,-0.997253418,-0.0152130127,14590.1616116667,0,0
0.0679016113,0.0140991211,-0.9996337891,87613.13308375,0.0038604736,-1.0006561279,-0.0343780518,7071.1722245,0.0426635742,-0.9998321533,-0.0100250244,33568.16468525,0.0307617188,-0.9961242676,-0.015838623,14590.2033896667,0,0
0.0787658691,-0.0057678223,-0.9977874756,87613.17400775,0.003616333,-0.9943695068,-0.0467224121,7071.2136285,0.0336456299,-0.9997711182,-0.005859375,33568.20618925,0.0305328369,-0.9968566895,-0.0167388916,14590.2451986667,0,0
0.0854949951,-0.0039978027,-0.9988098145,87613.21493175,0.0139160156,-0.9862518311,-0.0577697754,7071.2548835,0.041015625,-0.9995117188,-0.0176544189,33568.24769325,0.0305480957,-0.9967803955,-0.0154724121,14590.28696225,0,0
0.0947570801,0,-0.9945678711,87613.25585575,-0.0022735596,-1.0065917969,-0.0317077637,7071.2962925,0.0327911377,-0.9984283447,-0.0225524902,33568.28922825,0.030090332,-0.9962310791,-0.0159912109,14590.32877125,0,0
0.0999450684,0.0294494629,-0.993270874,87613.29677975,-0.0045013428,-0.9983673096,-0.0467224121,7071.3376985,0.0471954346,-0.9989776611,-0.0034637451,33568.330737125,0.0297088623,-0.9976654053,-0.0161895752,14590.37054925,0,0
0.0525817871,0.055770874,-0.9947357178,87613.33770375,0.0067443848,-0.9952087402,-0.022277832,7071.3791025,0.0273895264,-0.99949646,-0.0203399658,33568.372241125,0.0301971436,-0.9975891113,-0.0161437988,14590.41235925,0,0
0.0643463135,0.0481567383,-1.0004577637,87613.378605375,-0.0018005371,-0.9881744385,-0.0448303223,7071.4205005,0.0301513672,-1.0002288818,0,33568.413744125,0.0308380127,-0.9972686768,-0.0156097412,14590.45413725,0,0
0.0693664551,0.0532836914,-1.010269165,87613.419529375,0.0039367676,-1.0043792725,-0.0554962158,7071.4617605,0.0463256836,-0.9985656738,-0.0217437744,33568.455248125,0.030670166,-0.99659729,-0.0166168213,14590.49594625,0,0
0.0293426514,0.0753631592,-0.9986572266,87613.460453375,0.0026550293,-1.0019073486,-0.0098571777,7071.5031695,0.0407562256,-0.9989776611,-0.0111541748,33568.496783125,0.0295715332,-0.9971618652,-0.0157165527,14590.53772525,0,0
0.060760498,0.1131439209,-0.9894714355,87613.501377375,0.0017242432,-0.996963501,-0.0185241699,7071.5445765,0.0328216553,-0.9993438721,-0.0252227783,33568.538287125,0.0307769775,-0.9970245361,-0.0159301758,14590.57953425,0,0
0.063949585,0.0623168945,-0.9976196289,87613.542301375,0.0020599365,-0.9889068604,-0.053024292,7071.5859855,0.0372009277,-0.99949646,-0.0033569336,33568.579791125,0.0294799805,-0.9978637695,-0.0170593262,14590.62131225,0,0
0.0906066895,0.0487060547,-1.0097045898,87613.583225375,0.007522583,-0.9940795898,-0.0472259521,7071.6273925,0.0517425537,-0.9989776611,-0.0143127441,33568.621295125,0.0300445557,-0.9969329834,-0.0168762207,14590.66312225,0,0
0.0980987549,0.0371398926,-0.9913024902,87613.624180375,0.0005493164,-0.9904937744,-0.0489349365,7071.6686475,0.0182037354,-1.0005645752,-0.020401001,33568.662798125,0.0312805176,-0.9976654053,-0.0167694092,14590.70490025,0,0
0.0585784912,0.0980682373,-0.9959716797,87613.665104375,0.0027160645,-1.0096130371,-0.0283813477,7071.7100555,0.038772583,-0.998916626,-0.0316314697,33568.704302125,0.0300598145,-0.9967193604,-0.0161590576,14590.74670925,0,0
0.0778961182,0.0944519043,-1.0045928955,87613.706028375,-0.0005493164,-0.9989318848,-0.027053833,7071.7514655,0.0279083252,-1.0000762939,-0.0048217773,33568.745837125,0.0296630859,-0.9970245361,-0.0158996582,14590.78848825,0,0
0.0696105957,0.1161346436,-1.0059814453,87613.746921375,-0.0059967041,-1.0054321289,-0.0280914307,7071.7928705,0.0393981934,-1.0001525879,-0.0258636475,33568.787341125,0.0305023193,-0.9971160889,-0.015411377,14590.83029725,0,0
0.0453796387,0.0804901123,-0.9998626709,87613.787876375,-0.0051116943,-0.9967346191,-0.0153961182,7071.8342695,0.0368652344,-0.9987640381,-0.0175476074,33568.828845125,0.0314025879,-0.9973144531,-0.0154418945,14590.87207525,0,0
0.046661377,0.0536499023,-1.0094299316,87613.828800375,0.0098876953,-0.9942016602,-0.0210266113,7071.8755205,0.0439910889,-0.9983978271,-0.0097503662,33568.870348125,0.0309906006,-0.9974212646,-0.0157165527,14590.91388425,0,0
0.0701446533,0.042098999,-0.9957885742,87613.869724375,-0.0101776123,-1.0001068115,-0.0281524658,7071.9169135,0.0300292969,-0.9986419678,-0.0228881836,33568.911883125,0.0303344727,-0.9971466064,-0.0154571533,14590.95566325,0,0
0.0913085938,0.013458252,-0.9954376221,87613.910648375,-0.0153503418,-0.9897003174,-0.0350036621,7071.9583095,0.0308532715,-1.0002746582,-0.0106964111,33568.953387125,0.0289459229,-0.9969787598,-0.0160217285,14590.99747225,0,0
0.0625762939,0.0343780518,-1.0003967285,87613.951572375,0.0110473633,-1.0109100342,-0.0318145752,7071.9997105,0.0413970947,-0.9991607666,-0.017074585,33568.994891125,0.0305023193,-0.9971618652,-0.015335083,14591.03925125,0,0
0.0582580566,0.0350799561,-0.9971160889,87613.992496375,-0.0266418457,-0.9785308838,-0.0397491455,7072.0411085,0.0303649902,-0.9986877441,-0.0189971924,33569.036395125,0.0313873291,-0.9970855713,-0.0158691406,14591.08106025,0,0
0.0587463379,0.0563201904,-0.9996490479,87614.033420375,0.0065307617,-1.0168304443,-0.0492706299,7072.0823605,0.0294189453,-1.0004577637,-0.021484375,33569.077929125,0.0290527344,-0.9968109131,-0.0159301758,14591.12286925,0,0
0.0782775879,0.0856170654,-1.0000762939,87614.074375375,-0.0159759521,-0.9850921631,-0.0660858154,7072.1237625,0.0330810547,-1.0032958984,-0.0178985596,33569.119433125,0.0303649902,-0.9975280762,-0.0160369873,14591.16464725,0,0
0.065536499,0.0451507568,-0.9985046387,87614.115299375,-0.0143585205,-0.9885253906,-0.0536956787,7072.1651635,0.0361022949,-0.9986724854,-0.0238494873,33569.160937125,0.0303497314,-0.9971618652,-0.0160064697,14591.20645625,0,-0.0013498
0.0659942627,0.0849304199,-0.9948730469,87614.156223375,-0.0020599365,-1.0107421875,-0.0357208252,7072.2065425,0.0280609131,-1.0012664795,-0.0207061768,33569.202441125,0.0290985107,-0.9973297119,-0.0159912109,14591.24823525,0,-0.0084073
